variant,dataset,repeat,num_workers,batch_size,device,stage,calls,ms_per_call,pct
timed,carbon,0,0,8,cuda,group_and_join,78,1.51,4.3
timed,carbon,0,0,8,cuda,h2d,60,2.03,4.5
timed,carbon,0,0,8,cuda,loader,60,12.2,26.8
timed,carbon,0,0,8,cuda,loss,60,1.83,4.0
timed,carbon,0,0,8,cuda,optimizer,60,2.15,4.7
timed,carbon,0,0,8,cuda,serialize,78,2.06,5.9
timed,carbon,0,0,8,cuda,step,60,33.28,73.2
timed,carbon,0,0,8,cuda,transforms,78,6.86,19.6
timed,carbon,0,0,8,cuda,transforms/apply_random_augmentations,60,2.78,6.1
timed,carbon,0,0,8,cuda,transforms/transform,312,1.16,13.3
timed,carbon,0,0,8,cuda,unpack,60,1.28,2.8
timed,carbon,0,0,8,cuda,backward,60,10.92,26.8
timed,carbon,0,0,8,cuda,forward,60,9.04,22.2
timed,carbon,0,0,8,cuda,group_and_join,78,1.71,5.5
timed,carbon,0,0,8,cuda,h2d,60,2.01,4.9
timed,carbon,0,0,8,cuda,loader,60,12.13,29.8
timed,carbon,0,0,8,cuda,loss,60,1.36,3.3
timed,carbon,0,0,8,cuda,optimizer,60,1.63,4.0
timed,carbon,0,0,8,cuda,serialize,78,2.04,6.5
timed,carbon,0,0,8,cuda,step,60,28.54,70.2
timed,carbon,0,0,8,cuda,transforms,78,6.66,21.3
timed,carbon,0,0,8,cuda,transforms/apply_random_augmentations,60,2.69,6.6
timed,carbon,0,0,8,cuda,transforms/transform,312,1.13,14.5
timed,carbon,0,0,8,cuda,unpack,60,1.26,3.1
timed,carbon,0,0,8,cuda,backward,60,13.49,30.6
timed,carbon,0,0,8,cuda,forward,60,9.24,20.9
timed,carbon,0,0,8,cuda,group_and_join,78,1.48,4.4
timed,carbon,0,0,8,cuda,h2d,60,2.0,4.5
timed,carbon,0,0,8,cuda,loader,60,12.17,27.6
timed,carbon,0,0,8,cuda,loss,60,1.74,3.9
timed,carbon,0,0,8,cuda,optimizer,60,2.0,4.5
timed,carbon,0,0,8,cuda,serialize,78,2.12,6.2
timed,carbon,0,0,8,cuda,step,60,31.98,72.4
timed,carbon,0,0,8,cuda,transforms,78,6.8,20.0
timed,carbon,0,0,8,cuda,transforms/apply_random_augmentations,60,2.72,6.2
timed,carbon,0,0,8,cuda,transforms/transform,312,1.16,13.7
timed,carbon,0,0,8,cuda,unpack,60,1.25,2.8
timed,si216,0,0,8,cuda,backward,36,40.64,37.7
timed,si216,0,0,8,cuda,forward,36,21.83,20.2
timed,si216,0,0,8,cuda,group_and_join,48,2.12,2.6
timed,si216,0,0,8,cuda,h2d,36,2.21,2.0
timed,si216,0,0,8,cuda,loader,36,28.31,26.2
timed,si216,0,0,8,cuda,loss,36,2.28,2.1
timed,si216,0,0,8,cuda,optimizer,36,2.33,2.2
timed,si216,0,0,8,cuda,serialize,48,10.41,12.9
timed,si216,0,0,8,cuda,step,36,79.55,73.8
timed,si216,0,0,8,cuda,transforms,48,11.89,14.7
timed,si216,0,0,8,cuda,transforms/apply_random_augmentations,36,2.79,2.6
timed,si216,0,0,8,cuda,transforms/transform,192,2.44,12.0
timed,si216,0,0,8,cuda,unpack,36,7.93,7.4
timed,si216,0,0,8,cuda,backward,36,40.89,37.9
timed,si216,0,0,8,cuda,forward,36,21.84,20.2
timed,si216,0,0,8,cuda,group_and_join,48,2.12,2.6
timed,si216,0,0,8,cuda,h2d,36,2.19,2.0
timed,si216,0,0,8,cuda,loader,36,27.92,25.9
timed,si216,0,0,8,cuda,loss,36,2.14,2.0
timed,si216,0,0,8,cuda,optimizer,36,2.58,2.4
timed,si216,0,0,8,cuda,serialize,48,9.82,12.1
timed,si216,0,0,8,cuda,step,36,80.03,74.1
timed,si216,0,0,8,cuda,transforms,48,12.31,15.2
timed,si216,0,0,8,cuda,transforms/apply_random_augmentations,36,3.05,2.8
timed,si216,0,0,8,cuda,transforms/transform,192,2.49,12.3
timed,si216,0,0,8,cuda,unpack,36,7.91,7.3
timed,si216,0,0,8,cuda,backward,36,39.83,37.3
timed,si216,0,0,8,cuda,forward,36,21.74,20.4
timed,si216,0,0,8,cuda,group_and_join,48,2.11,2.6
timed,si216,0,0,8,cuda,h2d,36,2.17,2.0
timed,si216,0,0,8,cuda,loader,36,27.55,25.8
timed,si216,0,0,8,cuda,loss,36,2.22,2.1
timed,si216,0,0,8,cuda,optimizer,36,3.05,2.9
timed,si216,0,0,8,cuda,serialize,48,9.8,12.2
timed,si216,0,0,8,cuda,step,36,79.17,74.2
timed,si216,0,0,8,cuda,transforms,48,12.0,15.0
timed,si216,0,0,8,cuda,transforms/apply_random_augmentations,36,2.89,2.7
timed,si216,0,0,8,cuda,transforms/transform,192,2.44,12.2
timed,si216,0,0,8,cuda,unpack,36,7.82,7.3
timed,si_large,0,0,8,cuda,backward,72,175.95,47.5
timed,si_large,0,0,8,cuda,forward,72,77.91,21.0
timed,si_large,0,0,8,cuda,group_and_join,96,1.37,0.5
timed,si_large,0,0,8,cuda,h2d,72,2.71,0.7
timed,si_large,0,0,8,cuda,loader,72,74.67,20.2
timed,si_large,0,0,8,cuda,loss,72,1.45,0.4
timed,si_large,0,0,8,cuda,optimizer,72,1.74,0.5
timed,si_large,0,0,8,cuda,serialize,96,36.6,13.2
timed,si_large,0,0,8,cuda,step,72,295.63,79.8
timed,si_large,0,0,8,cuda,transforms,96,28.86,10.4
timed,si_large,0,0,8,cuda,transforms/apply_random_augmentations,72,3.03,0.8
timed,si_large,0,0,8,cuda,transforms/transform,384,6.63,9.5
timed,si_large,0,0,8,cuda,unpack,72,33.25,9.0
timed,si_large,0,0,8,cuda,backward,72,175.78,47.3
timed,si_large,0,0,8,cuda,forward,72,78.04,21.0
timed,si_large,0,0,8,cuda,group_and_join,96,1.38,0.5
timed,si_large,0,0,8,cuda,h2d,72,2.72,0.7
timed,si_large,0,0,8,cuda,loader,72,75.49,20.3
timed,si_large,0,0,8,cuda,loss,72,1.44,0.4
timed,si_large,0,0,8,cuda,optimizer,72,2.04,0.5
timed,si_large,0,0,8,cuda,serialize,96,37.44,13.4
timed,si_large,0,0,8,cuda,step,72,296.09,79.7
timed,si_large,0,0,8,cuda,transforms,96,28.72,10.3
timed,si_large,0,0,8,cuda,transforms/apply_random_augmentations,72,2.96,0.8
timed,si_large,0,0,8,cuda,transforms/transform,384,6.61,9.5
timed,si_large,0,0,8,cuda,unpack,72,33.38,9.0
timed,si_large,0,0,8,cuda,backward,72,175.74,47.5
